sub_id,articulacion,candidato,r_crudo,r_cal,rmse_cal
14,tobillo,Koopman,0.950199401002496,0.950199401002496,9.01915953037361
15,tobillo,Koopman,0.681203573888143,0.681203573888143,5.7328130335523
16,tobillo,Koopman,0.463847985938883,0.463847985938883,5.80423103251258
17,tobillo,Koopman,0.811605842195962,0.811605842195962,5.52592191492063
18,tobillo,Koopman,0.777635403995714,0.777635403995714,4.72390044678658
19,tobillo,Koopman,0.924994053820212,0.924994053820212,5.2368872992432
20,tobillo,Koopman,0.836812888081873,0.836812888081873,4.4633990113783
21,tobillo,Koopman,0.436339662097896,0.436339662097896,7.63192426136296
22,tobillo,Koopman,0.712469350752198,0.712469350752198,5.30768889798803
23,tobillo,Koopman,0.674144008375518,0.674144008375518,5.30750718495512
24,tobillo,Koopman,0.760497295441344,0.760497295441344,4.60471464046599
25,tobillo,Koopman,0.838721250455357,0.838721250455357,3.82310985057746
26,tobillo,Koopman,0.817834595979735,0.817834595979735,3.91974203129743
27,tobillo,Koopman,0.832391961330817,0.832391961330817,5.13256873381716
28,tobillo,Koopman,0.826373074014021,0.826373074014021,3.41793877537724
29,tobillo,Koopman,0.630997150384723,0.630997150384723,6.93727225435849
30,tobillo,Koopman,0.824552319620817,0.824552319620817,5.16654758674639
31,tobillo,Koopman,0.813483053776505,0.813483053776505,5.05959126994337
32,tobillo,Koopman,0.883978331373581,0.883978331373581,4.35826133253397
33,tobillo,Koopman,0.46357256552272,0.46357256552272,6.60334784029429
34,tobillo,Koopman,0.8650072715022,0.8650072715022,5.12343836807793
35,tobillo,Koopman,0.913986505787282,0.913986505787282,6.2543872841783
36,tobillo,Koopman,0.722751311615602,0.722751311615602,4.34837930637651
37,tobillo,Koopman,0.874445975818659,0.874445975818659,5.30361834783066
38,tobillo,Koopman,0.778070499429362,0.778070499429362,5.24655609566509
39,tobillo,Koopman,0.787737622326266,0.787737622326266,4.62435674622898
40,tobillo,Koopman,0.836149918287312,0.836149918287312,6.17136852190734
41,tobillo,Koopman,0.917423698012791,0.917423698012791,4.39609088275908
42,tobillo,Koopman,0.632587419150974,0.632587419150974,4.93901705373927
