frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm
556,5.56,1074.8329,857.612,986.437,445.339,743.96686,74.64973
557,5.57,1089.993,855.7704,999.835,444.014,746.02655,80.37191
558,5.58,1104.7909,854.30505,1014.4,442.666,748.59375,87.22291
559,5.59,1119.6586,852.93884,1030.15,441.416,752.29517,94.83464
560,5.6,1134.5862,852.1029,1047.79,440.24,756.9158,103.59662
561,5.61,1149.9486,850.9687,1066.61,439.02,763.39655,112.98327
562,5.62,1164.8955,850.36505,1087.7,437.576,770.0038,124.9505
563,5.63,1179.2997,849.33563,1110.5,435.672,779.67694,136.81897
564,5.64,1193.1921,848.433,1135.45,433.602,791.0509,149.91222
565,5.65,1206.5197,847.17413,1161.29,431.624,805.12067,163.12064
566,5.66,1219.2916,846.7256,1187.39,430.273,821.95276,175.04343
567,5.67,1231.4847,846.0152,1213.88,429.15,841.345,186.0794
568,5.68,1243.5366,845.70496,1240.27,428.679,862.43915,196.75536
569,5.69,1255.3762,845.67615,1266.57,428.513,883.9899,206.26863
570,5.7,1267.4194,846.03644,1292.04,429.715,905.1553,214.63596
571,5.71,1279.6127,846.59033,1317.04,432.266,927.6192,221.6768
572,5.72,1291.7915,847.7433,1341.82,435.041,950.8651,228.22086
573,5.73,1304.3134,849.5116,1366.26,438.48,975.64,232.2569
574,5.74,1316.6072,851.5473,1390.61,442.093,1001.42145,233.58997
575,5.75,1328.492,853.5296,1414.38,446.1,1028.0693,232.3431
576,5.76,1340.768,855.87714,1437.82,450.314,1055.4832,229.03339
577,5.77,1353.209,858.0194,1460.39,454.309,1084.107,223.63278
578,5.78,1364.8145,860.1764,1482.59,458.135,1112.8047,216.73524
579,5.79,1376.4451,862.0488,1504.28,462.412,1142.3489,209.29431
580,5.8,1387.9606,863.4973,1525.32,466.56,1172.548,200.54633
581,5.81,1398.9569,865.00586,1545.29,471.255,1204.0286,190.9597
582,5.82,1411.3198,866.356,1563.51,475.328,1236.1732,180.29173
583,5.83,1419.6719,866.6905,1583.47,480.146,1269.0548,169.14554
584,5.84,1429.1615,866.54535,1602.97,484.147,1303.0006,157.1462
585,5.85,1439.5269,867.2492,1620.35,486.896,1337.5607,145.2266
586,5.86,1450.1392,867.9562,1637.05,489.796,1373.5062,133.11552
587,5.87,1461.0353,868.7519,1653.35,492.183,1410.1399,121.412704
588,5.88,1470.9431,868.3868,1669.61,494.266,1447.169,109.82558
